#{"t_start": 1700052419.068803, "env_id": "None"}
r,l,t
0.75836,69,0.482007
0.75836,69,0.482068
0.75836,69,0.482078
0.75836,69,0.482085
0.75836,69,0.482091
0.75836,69,0.482097
0.75836,69,0.482103
0.75836,69,0.482108
0.75836,69,0.609873
0.75836,69,0.609931
0.75836,69,0.609941
0.75836,69,0.609948
0.75836,69,0.609954
0.75836,69,0.60996
0.75836,69,0.609969
0.75836,69,0.609974
0.75836,69,0.736388
0.75836,69,0.736443
0.75836,69,0.736452
0.75836,69,0.73646
0.75836,69,0.736466
0.75836,69,0.736472
0.75836,69,0.736478
0.75836,69,0.736483
0.75836,69,0.862074
0.75836,69,0.862123
0.75836,69,0.862132
0.75836,69,0.862139
0.75836,69,0.862148
0.75836,69,0.862154
0.75836,69,0.86216
0.75836,69,0.862165
0.78432,61,1.376023
0.7778,63,1.382745
0.7746,64,1.386385
0.7576,69,1.405021
0.75104,71,1.411946
0.74388,73,1.418526
0.74416,73,1.418572
0.73132,77,1.430248
0.768,66,1.588155
0.78788,60,1.608319
0.75404,70,1.612075
0.77456,64,1.621135
0.7644,67,1.624242
0.74748,72,1.63463
0.72388,79,1.638156
0.7674,66,1.641303
0.77132,65,1.788863
0.75836,69,2.285712
0.75836,69,2.285764
0.75836,69,2.285774
0.75836,69,2.28578
0.75836,69,2.285786
0.75836,69,2.285791
0.75836,69,2.285796
0.75836,69,2.285801
0.79808,57,3.382431
0.79488,58,3.38624
0.7784,63,3.404008
0.77476,64,3.408374
0.77128,65,3.412763
0.77108,65,3.412814
0.75716,69,3.426661
0.73168,77,3.45374
0.77756,63,3.603796
0.78736,60,3.617834
0.76056,68,3.624602
0.75524,70,3.646177
0.76096,68,3.659692
0.73772,75,3.668622
0.7176,81,3.687335
0.73708,75,3.705676
0.75764,69,3.81918
0.77448,64,3.845985
0.78736,60,4.256169
0.78736,60,4.256229
0.78736,60,4.256239
0.78736,60,4.256246
0.78736,60,4.256253
0.78736,60,4.256259
0.78736,60,4.256264
0.78736,60,4.256269
0.80788,54,4.452593
0.7982,57,4.463793
0.77168,65,4.488608
0.76764,66,4.491949
0.76728,66,4.492003
0.7642,67,4.495467
0.74112,74,4.517389
0.734,76,4.523943
0.76776,66,5.439696
0.78744,60,5.460327
0.77844,63,5.466563
0.76836,66,5.476075
0.72812,78,5.48563
0.74428,73,5.495432
0.76724,66,5.507782
0.73112,77,5.536641
0.75416,70,5.65633
0.77084,65,5.662952
0.7844,61,5.666536
0.77412,64,6.067988
0.77412,64,6.068051
0.77412,64,6.068064
0.77412,64,6.068075
0.77412,64,6.068081
0.77412,64,6.068086
0.77412,64,6.068092
0.77412,64,6.068096
0.77388,64,6.266044
0.75392,70,6.284261
0.75432,70,6.284316
0.75108,71,6.287986
0.74748,72,6.291232
0.7442,73,6.294746
0.73768,75,6.301276
0.73108,77,6.307568
0.78448,61,6.476701
0.75024,71,6.483221
0.76768,66,6.487
0.76752,66,6.496369
