#{"t_start": 1701782625.893583, "env_id": "None"}
r,l,t
0.72876,76,1.510403
0.72876,76,1.51047
0.72876,76,1.510484
0.72876,76,1.510492
0.72876,76,1.510503
0.72876,76,1.51051
0.72876,76,1.51052
0.72876,76,1.510527
0.72524,77,1.869764
0.72524,77,1.86982
0.72524,77,1.869832
0.72524,77,1.86984
0.72524,77,1.869848
0.72524,77,1.869855
0.72524,77,1.869862
0.72524,77,1.869869
0.82516,48,2.085308
0.82516,48,2.085371
0.82516,48,2.085382
0.82516,48,2.085391
0.82516,48,2.085399
0.82516,48,2.085406
0.82516,48,2.085412
0.82516,48,2.085419
0.7282,76,2.443574
0.7282,76,2.443636
0.7282,76,2.443647
0.7282,76,2.443655
0.7282,76,2.443664
0.7282,76,2.443672
0.7282,76,2.443679
0.7282,76,2.443685
0.80492,54,3.231514
0.76976,64,3.311335
0.76968,64,3.31139
0.75908,67,3.33728
0.74204,72,3.378305
0.73888,73,3.386275
0.73892,73,3.386343
0.73568,74,3.394761
0.78576,59,3.817416
0.7316,75,3.842858
0.75644,68,3.869908
0.72728,76,3.934996
0.75552,68,3.952655
0.74196,72,3.970626
0.74524,71,3.97069
0.7372,73,3.986171
0.79664,56,4.27716
0.83456,45,4.301023
0.76608,65,4.37442
0.7694,64,4.392148
0.80708,53,4.416425
0.78324,60,4.441103
0.78312,60,4.457785
0.75888,67,4.517275
0.82816,47,4.662372
0.83844,44,4.750545
0.76932,64,4.828167
0.7628,66,7.063172
0.75896,67,7.108272
0.7656,65,7.129504
0.78612,59,7.137003
0.74628,71,7.160275
0.77996,61,7.281148
0.72508,77,7.494925
0.74868,70,7.512387
0.8076,53,7.547655
0.77648,62,7.589125
0.749,70,7.606585
0.769,64,7.631345
0.80024,55,7.732323
0.7382,73,7.739821
0.83828,44,7.861792
0.84864,41,7.937681
0.76288,66,8.052852
0.79052,58,8.103001
0.74208,72,8.137234
0.79788,56,8.189527
0.73812,73,8.189585
0.82504,48,8.253696
0.75904,67,8.288003
0.77316,63,8.546935
0.72172,78,8.55463
0.75952,67,8.628579
0.75636,68,8.670417
0.74936,70,8.739409
0.75904,67,8.78157
0.72548,77,8.799761
0.73916,73,8.861065
0.75296,69,9.530201
0.75296,69,9.531081
0.75296,69,9.531105
0.75296,69,9.531115
0.75296,69,9.531123
0.75296,69,9.53113
0.74484,71,9.540704
0.74484,71,9.540766
0.81072,52,12.340626
0.79376,57,12.362751
0.7732,63,12.409756
0.77248,63,12.409822
0.76256,66,12.432755
0.74564,71,12.469685
0.73856,73,12.486158
0.73468,74,12.50961
0.8106,52,12.759038
0.7692,64,12.894261
0.78992,58,12.909509
0.78328,60,12.940015
0.71168,81,12.955063
0.73224,75,12.979404
0.72868,76,13.015686
0.7082,82,13.155801
0.81364,51,13.388387
0.71448,80,13.410654
0.73592,74,13.510251
0.75304,69,13.560146
0.71576,80,13.576549
0.7118,81,13.621786
0.78568,59,13.653319
0.70824,82,13.715362
0.82008,49,13.810503
0.8142,51,13.852487
0.82092,49,13.926963
0.841,43,13.941523
0.82028,49,13.971058
0.8242,48,14.038915
0.81056,52,14.047423
0.80988,52,16.319774
0.8938,28,16.352163
0.84096,43,16.458764
0.75944,67,16.525297
0.82764,47,16.532626
0.76216,66,16.555467
0.81348,51,16.633483
0.80368,54,16.647917
0.80308,54,16.726642
0.7694,64,16.830589
0.80708,53,16.846909
0.82448,48,16.884126
0.80748,53,16.947645
0.7376,73,17.068532
0.81404,51,17.113169
0.75168,69,17.168394
0.7348,74,17.191428
