#{"t_start": 1703104187.8395169, "env_id": "None"}
r,l,t
0.93144,83,3.261457
0.93144,83,3.26152
0.93144,83,3.261532
0.93144,83,3.26154
0.93144,83,3.261548
0.93144,83,3.261555
0.93144,83,3.261562
0.93144,83,3.261569
0.92917,86,4.318737
0.92917,86,4.318797
0.92917,86,4.318811
0.92917,86,4.318819
0.92917,86,4.318828
0.92917,86,4.318835
0.92917,86,4.318842
0.92917,86,4.318849
0.93795,75,5.236903
0.93795,75,5.237009
0.93795,75,5.237033
0.93795,75,5.237046
0.93795,75,5.237065
0.93795,75,5.237077
0.93795,75,5.237087
0.93795,75,5.237098
0.93551,78,6.20399
0.93551,78,6.204047
0.93551,78,6.204058
0.93551,78,6.204067
0.93551,78,6.204075
0.93551,78,6.204082
0.93551,78,6.204089
0.93551,78,6.204095
0.93876,74,7.85367
0.93712,76,7.879
0.93555,78,7.906762
0.93473,79,7.924513
0.93389,80,7.938484
0.93065,84,7.995859
0.9299,85,8.011265
0.92902,86,8.027435
0.9347,79,8.979572
0.93874,74,9.017865
0.93071,84,9.017927
0.93317,81,9.044059
0.92902,86,9.135087
0.9252,91,9.18034
0.92998,85,9.20833
0.92824,87,9.221812
0.93874,74,10.082146
0.93711,76,10.082233
0.93635,77,10.099549
0.93306,81,10.112643
0.93875,74,10.169815
0.93144,83,10.32536
0.93235,82,10.339557
0.93235,82,10.355905
0.93469,79,32.638024
0.93063,84,32.706083
0.93392,80,32.733596
0.92823,87,32.774887
0.92583,90,32.804366
0.93469,79,32.881974
0.93389,80,32.909846
0.92985,85,32.991792
0.93792,75,33.648229
0.93549,78,33.752497
0.93632,77,33.764545
0.93554,78,33.813877
0.93308,81,33.878324
0.93632,77,34.007103
0.92988,85,34.007192
0.9307,84,34.021899
0.93068,84,34.738906
0.92993,85,34.863115
0.92983,85,34.879203
0.93231,82,34.958494
0.92823,87,34.958585
0.93793,75,34.998393
0.93306,81,35.08947
0.93145,83,35.104683
0.92829,87,36.855696
0.92829,87,36.855751
0.92829,87,36.855763
0.92829,87,36.855772
0.92829,87,36.855781
0.92829,87,36.855788
0.92829,87,36.855801
0.92829,87,36.855819
0.9412,71,61.133895
0.9339,80,61.253605
0.93148,83,61.295116
0.92989,85,61.327807
0.92821,87,61.35684
0.92825,87,61.356927
0.92829,87,61.356939
0.92747,88,61.373375
0.93228,82,62.333863
0.93387,80,62.429787
0.93227,82,62.498975
0.93392,80,62.528392
0.93226,82,62.553977
0.92987,85,62.567761
0.92821,87,62.63839
0.92578,90,62.66602
0.93387,80,63.423044
0.93388,80,63.51712
0.93388,80,63.58334
0.93064,84,63.671931
0.92902,86,63.73408
0.92746,88,63.746736
0.93067,84,63.799924
0.92742,88,63.826827
0.92674,89,85.96353
0.92907,86,86.019076
0.92742,88,86.107001
0.92758,88,86.178478
0.92909,86,86.212698
0.9274,88,86.253468
0.9282,87,86.293765
0.92825,87,86.324804
0.9428,69,86.836228
0.93154,83,87.042293
0.93956,73,87.07932
0.93227,82,87.118109
0.93639,77,87.165368
0.93793,75,87.239104
0.93064,84,87.287594
0.93067,84,87.329779
0.9266,89,87.918056
0.93873,74,87.956456
0.93306,81,88.088598
0.93063,84,88.162934
0.93314,81,88.175545
0.9282,87,89.716841
0.9282,87,89.71691
0.9282,87,89.716935
0.9282,87,89.71698
0.9282,87,89.717028
0.92745,88,89.73171
0.92745,88,89.731769
0.92745,88,89.731781
0.93955,73,113.067086
0.93713,76,113.10735
0.93634,77,113.123123
0.93067,84,113.228702
0.93069,84,113.24547
0.92983,85,113.265219
0.92904,86,113.265288
0.92987,85,113.265299
0.92984,85,114.301565
0.92902,86,114.373646
0.93549,78,114.411273
0.93146,83,114.461203
0.92508,91,114.477456
0.93149,83,114.495838
0.93009,85,114.514211
0.93064,84,114.514362
0.93307,81,115.49374
0.9347,79,115.55085
0.93144,83,115.580267
0.93226,82,115.63008
0.9323,82,115.669636
0.92982,85,115.685115
0.93065,84,115.700749
0.92984,85,115.700803
0.92826,87,137.783742
0.92985,85,137.809107
0.9372,76,137.80918
0.92822,87,137.860409
0.93315,81,137.885327
0.92761,88,137.927008
0.92911,86,137.967317
0.92914,86,137.967406
0.93874,74,138.786866
0.93153,83,138.82706
0.92741,88,138.913428
0.92662,89,138.928135
0.92985,85,138.955308
0.9323,82,138.955392
0.92988,85,139.034491
0.92658,89,139.083616
0.93794,75,139.756617
0.9363,77,139.823926
0.9355,78,139.965956
0.93147,83,139.991837
0.93063,84,140.019545
0.93639,77,141.458106
0.93639,77,141.458156
0.93639,77,141.458168
0.93468,79,141.489598
0.93468,79,141.489666
0.93468,79,141.489682
0.93468,79,141.489695
0.93472,79,141.489706
0.93631,77,163.587501
0.93711,76,163.605708
0.93469,79,163.618407
0.93468,79,163.618455
0.9355,78,163.631288
0.93225,82,163.695895
0.93063,84,163.729122
0.92747,88,163.78782
0.9363,77,164.672748
0.93556,78,164.700854
0.93468,79,164.728932
0.93312,81,164.771867
0.93471,79,164.804701
0.93074,84,164.804763
0.93956,73,164.804774
0.93146,83,164.888101
0.93397,80,165.783799
0.93712,76,165.800646
0.92985,85,165.82967
0.9363,77,165.929753
0.92739,88,165.92983
0.92903,86,165.968017
0.92909,86,165.968107
0.92909,86,165.968131
0.93151,83,187.919524
0.93157,83,187.938144
0.93231,82,187.954557
0.93146,83,188.068825
0.92908,86,188.150501
0.92905,86,188.150593
0.92592,90,188.16616
0.92837,87,188.166219
0.9355,78,189.042152
0.93388,80,189.042242
0.93147,83,189.094808
0.92834,87,189.27585
0.93229,82,189.305527
0.92982,85,189.333927
0.93069,84,189.334015
0.92745,88,189.373214
0.93226,82,190.184171
0.92824,87,190.252809
0.92832,87,190.30149
0.93068,84,190.448005
0.93388,80,190.448074
0.93229,82,190.448091
0.93401,80,190.448104
0.93551,78,190.46326
0.93469,79,192.421995
0.93469,79,192.422049
0.93469,79,192.422061
0.93469,79,192.42207
0.93388,80,192.435857
0.93148,83,192.47787
0.93148,83,192.477933
0.93148,83,192.477945
0.93793,75,214.243564
0.93793,75,214.244511
0.9347,79,214.301267
0.9355,78,214.340314
0.93065,84,214.365825
0.93144,83,214.408674
0.92903,86,214.450531
0.92585,90,214.467079
0.93069,84,215.386467
0.9307,84,215.386573
0.93227,82,215.411452
0.93557,78,215.427388
0.93063,84,215.480556
0.92982,85,215.564715
0.93307,81,215.564786
0.92746,88,215.649574
0.92983,85,216.582209
0.92982,85,216.597026
0.93307,81,216.597082
0.92662,89,216.611668
0.93469,79,216.648889
0.92368,93,216.665768
0.93309,81,216.682496
0.93149,83,216.788619
0.93549,78,238.303098
0.93389,80,238.347718
0.93387,80,238.36445
0.93072,84,238.407913
0.92911,86,238.512602
0.92987,85,238.51266
0.92823,87,238.512672
0.9331,81,238.565363
