#{"t_start": 1704711720.0429142, "env_id": "None"}
r,l,t
0.99218,9,1.281097
0.99218,9,1.281177
0.99218,9,1.281194
0.99218,9,1.281203
0.99218,9,1.28121
0.99218,9,1.281216
0.99218,9,1.281222
0.99218,9,1.281228
0.99216,9,1.330072
0.99216,9,1.330121
0.99216,9,1.330132
0.99216,9,1.33014
0.99216,9,1.330149
0.99216,9,1.330156
0.99216,9,1.330162
0.99216,9,1.330167
0.99218,9,1.375529
0.99218,9,1.37558
0.99218,9,1.37559
0.99218,9,1.375598
0.99218,9,1.375604
0.99218,9,1.375611
0.99218,9,1.375617
0.99218,9,1.375622
0.99225,9,1.421331
0.99225,9,1.421376
0.99225,9,1.421385
0.99225,9,1.421392
0.99225,9,1.421399
0.99225,9,1.421405
0.99225,9,1.42141
0.99225,9,1.421416
0.99299,8,1.999138
0.99299,8,1.999202
0.99225,9,2.008075
0.99224,9,2.00817
0.99223,9,2.008183
0.99218,9,2.008192
0.99214,9,2.0082
0.99227,9,2.008207
0.99218,9,2.127652
0.99218,9,2.12771
0.99305,8,2.127722
0.99218,9,2.137723
0.99225,9,2.137782
0.99217,9,2.137792
0.99222,9,2.137801
0.9915,10,2.147795
0.99297,8,2.207904
0.99385,7,2.20798
0.9922,9,2.218257
0.99225,9,2.218318
0.99228,9,2.228038
0.9922,9,2.228094
0.99225,9,2.228104
0.99217,9,2.238072
0.99222,9,2.292046
0.99222,9,2.2921
0.99217,9,2.301481
0.9922,9,2.301531
0.99226,9,2.31052
0.99217,9,2.310568
0.99302,8,2.310578
0.99216,9,2.310586
0.99304,8,2.372343
0.99215,9,2.381425
0.993,8,2.391745
0.99298,8,2.391807
0.99226,9,2.391824
0.99217,9,2.391834
0.99226,9,2.401603
0.99215,9,2.401651
0.99217,9,2.454693
0.99309,8,2.454746
0.99472,6,2.454757
0.99297,8,2.462863
0.99228,9,2.472298
0.99231,9,2.472353
0.99214,9,2.472364
0.99217,9,2.481302
0.99219,9,2.537391
0.99219,9,2.537453
0.9922,9,2.537465
0.99298,8,2.537481
0.99217,9,2.55713
0.99219,9,2.557184
0.9922,9,2.557204
0.99299,8,2.557214
0.99383,7,2.601084
0.99298,8,2.609952
0.99224,9,2.620116
0.99224,9,2.620178
0.99299,8,2.629019
0.99303,8,2.629072
0.99222,9,2.639066
0.9915,10,2.647519
0.99301,8,2.672794
0.99213,9,2.690529
0.99213,9,2.699415
0.99229,9,2.699468
0.99305,8,2.709568
0.99216,9,2.709628
0.9915,10,2.719057
0.99213,9,2.727519
0.9922,9,2.755845
0.99383,7,2.755904
0.99217,9,2.783322
0.9922,9,2.783375
0.99298,8,2.783388
0.99217,9,2.792235
0.9922,9,2.800976
0.99212,9,2.80979
0.99297,8,2.826696
0.99212,9,2.836259
0.99214,9,2.864695
0.9922,9,2.86477
0.99225,9,2.864783
0.99214,9,2.882183
0.9915,10,2.882234
0.9915,10,2.901402
0.99223,9,2.910581
0.99224,9,2.92122
0.993,8,2.940847
0.99301,8,2.940899
0.99225,9,2.951633
0.9922,9,2.970349
0.99214,9,2.970401
0.99214,9,2.987651
0.99312,8,2.987708
0.99227,9,3.005102
0.99298,8,3.013953
0.99215,9,3.023069
0.99227,9,3.033764
0.99217,9,3.052448
0.99217,9,3.052531
0.99217,9,3.070084
0.9915,10,3.079156
0.9922,9,3.087881
0.99225,9,3.096702
0.9923,9,3.106306
0.9915,10,3.123106
0.99212,9,3.131672
0.9915,10,3.140255
0.99212,9,3.150825
0.99217,9,3.16225
0.99213,9,3.171829
0.99217,9,3.180534
0.99212,9,3.189429
0.99214,9,3.207742
0.99212,9,3.216471
0.99217,9,3.225319
0.99217,9,3.235734
0.99297,8,3.2358
0.99223,9,3.254764
0.99214,9,3.264293
0.99216,9,3.27409
0.99304,8,3.283292
0.99214,9,3.301734
0.99216,9,3.31014
0.99224,9,3.319251
0.99227,9,3.319306
0.99387,7,3.327705
0.99469,6,3.338534
0.99219,9,3.338607
0.9923,9,3.356795
0.99384,7,3.365719
0.9922,9,3.393225
0.99297,8,3.403085
0.99221,9,3.403136
0.99226,9,3.403147
0.993,8,3.412082
0.99223,9,3.420803
0.99226,9,3.437613
0.99305,8,3.437671
0.99305,8,3.463616
0.99297,8,3.472914
0.99223,9,3.483516
0.99217,9,3.483571
0.99214,9,3.492851
0.9923,9,3.502087
0.99297,8,3.511008
0.99218,9,3.519567
0.9922,9,3.545976
0.993,8,3.557725
0.9922,9,3.55778
0.99301,8,3.557791
0.99299,8,3.568047
0.99306,8,3.576425
0.99308,8,3.587149
0.99225,9,3.605198
0.99297,8,3.622268
0.99302,8,3.631047
0.99215,9,3.639314
0.99214,9,3.63937
0.99224,9,3.648134
0.99298,8,3.648183
0.99382,7,3.667798
0.9922,9,3.667851
0.99298,8,3.694655
0.99228,9,3.714858
0.99223,9,3.723762
0.99223,9,3.723823
0.99223,9,3.732681
0.99218,9,3.73273
0.99304,8,3.742416
0.99213,9,3.75105
0.99221,9,3.778205
0.99302,8,3.787784
0.99297,8,3.796942
0.99304,8,3.796997
0.99302,8,3.806946
0.99212,9,3.816753
0.99311,8,3.816806
0.99212,9,3.834067
0.99212,9,3.860794
0.99219,9,3.870694
0.99213,9,3.882102
0.99217,9,3.882168
0.99301,8,3.892238
0.99226,9,3.892295
0.9915,10,3.916428
0.9915,10,3.935615
0.99219,9,3.952652
0.99213,9,3.961579
0.9923,9,3.975916
0.99223,9,3.975961
0.99213,9,3.985137
0.99216,9,3.985187
0.99213,9,4.002891
0.99216,9,4.020934
0.9939,7,4.020981
0.993,8,4.039491
0.99224,9,4.057835
0.99216,9,4.057885
0.99301,8,4.057894
0.99213,9,4.066804
0.99226,9,4.085865
0.99383,7,4.085898
0.9922,9,4.104107
0.99384,7,4.104159
0.99234,9,4.14056
0.99226,9,4.140612
0.99299,8,4.140622
0.9915,10,4.150222
0.99298,8,4.159196
0.99215,9,4.16836
0.99215,9,4.187153
0.99217,9,4.187202
0.99302,8,4.215288
0.99217,9,4.225119
0.99218,9,4.225168
0.99299,8,4.225177
0.9947,6,4.244332
0.99215,9,4.244379
0.9915,10,4.262851
0.99225,9,4.271986
0.99299,8,4.299402
0.99215,9,4.308526
0.9915,10,4.308569
0.99226,9,4.308578
0.99299,8,4.318495
0.993,8,4.318541
0.99301,8,4.337599
0.99297,8,4.348006
0.99298,8,6.840297
0.9915,10,6.849266
0.99308,8,6.849334
0.99225,9,6.849349
0.99226,9,6.858324
0.9915,10,6.858386
0.99225,9,6.87551
0.99225,9,6.884612
0.99222,9,6.922212
